Method,Name,Error,Occurrences
GET,flujo_voz:flujo_completo,"CatchResponseError(""HTTPConnectionPool(host='localhost', port=50076): Max retries exceeded with url: /session/99ff367fd6e404a2d5ae9b0be61762a7/element (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x....>: Failed to establish a new connection: [Errno 10061] [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.'))"")",5
GET,flujo_voz:pasar_plata_numero_monto,CatchResponseError('Failed to connect. Probable cause: Unknown'),7
GET,flujo_voz:flujo_completo,"CatchResponseError(""HTTPConnectionPool(host='localhost', port=51968): Max retries exceeded with url: /session/c3497251985fd99e3ddb6f62379c6d5d/element (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x....>: Failed to establish a new connection: [Errno 10061] [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.'))"")",5
GET,flujo_voz:flujo_completo,"CatchResponseError(""HTTPConnectionPool(host='localhost', port=51971): Max retries exceeded with url: /session/0ddeefef14600e1dc6ea853b2bf00dc4/element (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x....>: Failed to establish a new connection: [Errno 10061] [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.'))"")",5
GET,flujo_voz:flujo_completo,"CatchResponseError(""HTTPConnectionPool(host='localhost', port=51969): Max retries exceeded with url: /session/9aa9cb5731c87223c95fbbd80caefb62/element (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x....>: Failed to establish a new connection: [Errno 10061] [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.'))"")",5
GET,flujo_voz:flujo_completo,CatchResponseError('Flujo de voz falló'),73
GET,flujo_voz:flujo_completo,"CatchResponseError(""HTTPConnectionPool(host='localhost', port=51967): Max retries exceeded with url: /session/56afe99cf5e9ca69d5cb5ceae0a898fa/element (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x....>: Failed to establish a new connection: [Errno 10061] [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.'))"")",13
GET,flujo_voz:flujo_completo,"CatchResponseError(""HTTPConnectionPool(host='localhost', port=51966): Max retries exceeded with url: /session/bed3bd3a48e3dccdaf27442503aee69b/element (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x....>: Failed to establish a new connection: [Errno 10061] [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.'))"")",5
GET,flujo_voz:flujo_completo,"CatchResponseError(""HTTPConnectionPool(host='localhost', port=51970): Max retries exceeded with url: /session/34d98f555adc6c911ad980a15316e2e3/element (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x....>: Failed to establish a new connection: [Errno 10061] [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.'))"")",5
GET,flujo_voz:flujo_completo,"CatchResponseError(""HTTPConnectionPool(host='localhost', port=51964): Max retries exceeded with url: /session/db1272bd5f14e11c0e9ea61fbcbd5146/element (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x....>: Failed to establish a new connection: [Errno 10061] [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.'))"")",13
GET,flujo_voz:flujo_completo,"CatchResponseError(""HTTPConnectionPool(host='localhost', port=50077): Max retries exceeded with url: /session/c1fc2b107f6b679a3b4f0d07d6156c41/element (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x....>: Failed to establish a new connection: [Errno 10061] [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.'))"")",5
GET,flujo_voz:flujo_completo,"CatchResponseError(""HTTPConnectionPool(host='localhost', port=51965): Max retries exceeded with url: /session/0a113bc08af8e34c5e361cb51c744e8a/element (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x....>: Failed to establish a new connection: [Errno 10061] [WinError 10061] No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión.'))"")",5
